ac,cal,cnl,den,gr,pe,rt10,rt20,rt30,rt60,rt90,toc
218.958,8.5317001343,16.9093,2.0211000443,18.213499069,7.9759998322,1950.0,1950.0,107.93319702,68.85949707,151.16670227,0.1321
223.406,8.5499000549,15.7935,2.0318000317,18.652599335,7.993999958,1950.0,1950.0,61.461799622,88.309997559,188.59899902,0.1334
226.045,8.5256996155,16.1233,2.0218000412,19.310899734,7.9699997902,1950.0,1950.0,30.831800461,92.147903442,252.81359863,0.141
227.659,8.5377998352,16.522,2.0316998959,18.652900696,7.9819998741,1950.0,1950.0,14.815400124,94.326499939,363.53448486,0.1596
228.505,8.5377998352,15.3923,1.9996999502,17.111400604,7.9819998741,1950.0,1950.0,22.022800446,101.91989899,514.21142578,0.1726
229.057,8.5499000549,15.87,1.9524999857,13.883799553,7.993999958,1950.0,1950.0,17.318199158,107.86740112,656.35992432,0.1851
229.173,8.543800354,15.6855,1.9392999411,14.105699539,7.9879999161,1950.0,1950.0,9.7487001419,112.83309937,747.5289917,0.1986
228.992,8.5377998352,15.423,1.9464000463,13.888600349,7.9819998741,1950.0,1950.0,5.6620998383,111.03230286,794.30712891,0.2195
228.658,8.5377998352,15.0665,2.0594000816,15.360799789,7.9819998741,1950.0,1950.0,9.7313995361,114.66790009,844.34661865,0.2454
228.322,8.543800354,14.69,2.1187999249,15.360799789,7.9879999161,1950.0,1950.0,15.672800064,110.20200348,872.76068115,0.3411
228.038,8.543800354,14.0873,2.122699976,16.019100189,7.9879999161,1950.0,1950.0,13.315199852,103.11430359,850.35247803,0.4528
227.503,8.5377998352,14.416,2.0792000294,15.580200195,7.9819998741,1950.0,1950.0,8.9911003113,93.270698547,738.80487061,0.5392
226.611,8.5377998352,14.4318,1.9630000591,14.261599541,7.9819998741,1950.0,1950.0,21.997600555,88.300201416,582.62878418,0.5559
225.402,8.5377998352,14.7075,1.8961999416,15.355699539,7.9819998741,1950.0,1950.0,34.748699188,82.854598999,449.99108887,0.4992
224.008,8.5377998352,16.4903,1.8781000376,15.736499786,7.9819998741,1950.0,1950.0,104.51300049,71.573196411,352.1322937,0.434
222.844,8.5499000549,15.744,1.8788000345,16.835699081,7.993999958,1950.0,1950.0,269.97970581,68.952301025,283.23800659,0.5176
222.28,8.5377998352,15.3785,1.8760000467,15.522100449,7.9819998741,1950.0,1950.0,799.09613037,70.459999084,230.18009949,0.6727
222.271,8.543800354,15.269,1.8939000368,16.238500595,7.9879999161,1950.0,1950.0,1946.6325684,69.131103516,186.79570007,0.9297
223.654,8.5377998352,14.9813,1.9194999933,16.238500595,7.9819998741,1950.0,1950.0,1950.0,62.566299438,153.51809692,1.1917
225.644,8.5499000549,14.56,1.9232000113,16.582000732,7.993999958,1950.0,1950.0,1950.0,61.4416008,128.97360229,1.1112
227.387,8.5377998352,14.8613,1.9118000269,14.383500099,7.9819998741,1950.0,1950.0,922.34997559,67.164497375,114.23690033,0.9323
228.518,8.5620002747,13.1575,1.9198000431,15.926199913,8.0059995651,1950.0,1950.0,333.41040039,67.524200439,101.42079926,0.739
229.117,8.5377998352,13.429,1.9207999706,15.363200188,7.9819998741,1950.0,1950.0,125.0483017,70.846298218,89.169898987,0.5695
229.499,8.55189991,12.529,1.9000999928,15.586799622,7.9959998131,1950.0,1950.0,50.484798431,82.546203613,83.439201355,0.4596
229.674,8.5390005112,12.5943,1.9192999601,14.263600349,7.9832000732,1950.0,1950.0,22.91629982,93.93119812,73.106697083,0.4162
229.766,8.5620002747,12.7925,1.9334000349,13.166399956,8.0059995651,1950.0,1950.0,11.995900154,98.493103027,59.755298615,0.4197
229.418,8.5357999802,13.2618,1.9474999905,13.481200218,7.9800000191,1950.0,1950.0,7.6616001129,91.257301331,57.308898926,0.5793
228.547,8.5680999756,13.458,1.956099987,13.261699677,8.0120000839,1950.0,1950.0,7.2177000046,75.292800903,76.221603394,0.7259
227.18,8.5558996201,13.5415,1.9794000387,12.821299553,8.0,1950.0,1950.0,6.8302998543,69.525100708,66.179397583,0.8472
225.397,8.5740995407,12.7025,2.0508000851,11.188300133,8.017999649,1950.0,1950.0,6.9745998383,50.669101715,53.032901764,0.9387
223.095,8.5680999756,11.467,2.2244000435,8.7771997452,8.0120000839,1950.0,1950.0,6.7923998833,45.178100586,56.473701477,0.9627
220.894,8.5982999802,12.117,2.3907001019,9.4673995972,8.0419998169,1950.0,1950.0,6.7800002098,17.765300751,20.328199387,0.8474
219.203,8.5620002747,13.127,2.2539000511,12.102199554,8.0059995651,1950.0,1950.0,5.9744000435,30.267900467,41.740699768,0.7444
217.611,8.5620002747,15.29,2.0536000729,17.585500717,8.0059995651,1950.0,1950.0,5.1553001404,45.486099243,52.314399719,0.6503
216.587,8.5620002747,15.1103,1.9545999765,22.16340065,8.0059995651,1950.0,1950.0,4.8287000656,49.074501038,68.327400208,0.5794
216.356,8.5802001953,13.954,1.9781999588,25.459400177,8.0240001678,1950.0,1950.0,4.228000164,62.579898834,99.721496582,0.5485
216.604,8.5680999756,14.192,1.970600009,24.86190033,8.0120000839,1950.0,1950.0,3.8610999584,75.904800415,130.96220398,0.5234
216.905,8.5740995407,14.026,1.986700058,22.442199707,8.017999649,1950.0,1950.0,4.972799778,88.507598877,172.05599976,0.4776
216.272,8.5620002747,15.2345,1.9903000593,20.466299057,8.0059995651,1950.0,1950.0,5.8575000763,88.507102966,224.77850342,0.4294
215.056,8.5802001953,14.727,1.9818999767,18.872299194,8.0240001678,1950.0,1950.0,6.7708997726,88.089698792,284.92840576,0.3747
212.842,8.5740995407,12.8413,1.9717999697,18.219900131,8.017999649,1950.0,1950.0,9.9493999481,85.56539917,310.03671265,0.3085
209.712,8.6043996811,11.5605,1.9852000475,15.662799835,8.0480003357,1950.0,1950.0,15.281499863,85.727897644,269.02999878,0.24
205.987,8.5680999756,7.2503,1.9987000227,14.34319973,8.0120000839,1950.0,1950.0,27.124799728,88.007102966,205.10609436,0.1688
202.708,8.5802001953,6.414,2.0113999844,14.998600006,8.0240001678,1950.0,1950.0,52.775398254,85.208099365,161.70050049,0.154
200.204,8.5740995407,6.2095,1.9944000244,17.771600723,8.017999649,1950.0,1950.0,116.49720001,75.588699341,134.24989319,0.139
198.365,8.5802001953,6.202,1.9948999882,20.624300003,8.0240001678,1950.0,1950.0,279.47729492,76.711898804,139.72200012,0.1251
198.108,8.5558996201,6.478,1.9983999729,23.399400711,8.0,1950.0,1950.0,664.40478516,90.548400879,171.72369385,0.1181
198.728,8.5740995407,6.763,2.0051999092,22.305299759,8.017999649,1950.0,1950.0,1482.3679199,98.380401611,233.13139343,0.113
199.777,8.5680999756,7.572,1.9779000282,20.988700867,8.0120000839,1950.0,1950.0,1831.0008545,108.9088974,356.62701416,0.1177
200.715,8.5861997604,7.726,1.9872000217,19.972000122,8.029999733,1950.0,1950.0,1702.8530273,120.59010315,580.31121826,0.1192
201.529,8.5620002747,7.5865,1.9916000366,23.041099548,8.0059995651,1950.0,1950.0,1217.1972656,134.16409302,929.96411133,0.1244
202.963,8.5680999756,7.789,1.9772000313,23.699399948,8.0120000839,1950.0,1950.0,669.13641357,142.33920288,1343.3045654,0.152
205.545,8.5680999756,8.6215,1.9900000095,25.421199799,8.0120000839,1950.0,1950.0,287.83410645,143.20579529,1684.5227051,0.2147
208.94,8.5802001953,10.584,2.0127999783,22.571699142,8.0240001678,1950.0,1950.0,134.19320679,137.79840088,1739.7016602,0.5981
214.482,8.5680999756,11.8065,2.1059999466,22.34569931,8.0120000839,1950.0,1950.0,67.129699707,128.5428009,1566.0101318,0.5375
219.98,8.5740995407,13.944,2.1888000965,18.210100174,8.017999649,1950.0,1950.0,36.765800476,116.82769775,1257.1405029,0.4665
224.1,8.5761003494,14.866,2.2097001076,18.842599869,8.0200004578,1950.0,1950.0,22.240999222,106.04070282,935.50927734,0.3837
227.857,8.6043996811,16.615,2.2249999046,19.068599701,8.0480003357,1950.0,1950.0,14.445599556,99.146598816,686.73687744,0.3184
230.654,8.6104001999,17.7923,2.1375000477,20.165800095,8.0539999008,1950.0,1950.0,11.588000298,94.9897995,536.02337646,0.3323
232.534,8.6043996811,16.706,2.0357000828,21.504999161,8.0480003357,1950.0,1950.0,9.973400116,91.757003784,448.34539795,0.3095
233.706,8.592300415,16.8628,1.9515000582,22.602199554,8.0360002518,1950.0,1950.0,12.71969986,92.047302246,408.52011108,0.2679
234.182,8.5740995407,15.73,1.9503999949,21.066200256,8.017999649,1950.0,1950.0,18.915700912,94.944198608,379.59298706,0.2378
232.904,8.5740995407,14.9075,1.9488999844,16.019100189,8.017999649,1950.0,1950.0,32.690101624,91.890098572,348.34259033,0.2343
231.124,8.5620002747,12.81,1.9749000072,11.191399574,8.0059995651,1950.0,1950.0,61.753101349,83.547096252,309.80609131,0.2203
229.386,8.5680999756,13.3138,1.9966000319,11.405799866,8.0120000839,1950.0,1950.0,133.54130554,68.743202209,259.77819824,0.2247
227.867,8.5680999756,14.66,2.0030999184,14.039099693,8.0120000839,1950.0,1950.0,317.19039917,73.503501892,221.99099731,0.237
226.487,8.5740995407,14.3565,2.0002000332,16.016599655,8.017999649,1950.0,1950.0,722.0670166,73.923599243,186.49319458,0.2405
224.803,8.5620002747,14.644,2.0169999599,15.804599762,8.0059995651,1950.0,1950.0,952.14849854,57.956199646,165.00920105,0.2336
223.177,8.5680999756,15.8768,2.0230998993,16.898300171,8.0120000839,1950.0,1950.0,592.28961182,52.917800903,146.43029785,0.2342
221.709,8.5680999756,15.992,2.0020999908,17.992900848,8.0120000839,1950.0,1950.0,296.42019653,67.551399231,152.22569275,0.2476
221.141,8.5740995407,14.9838,1.9649000168,18.212499619,8.017999649,1950.0,1950.0,148.80909729,75.4897995,156.52110291,0.3905
221.253,8.5680999756,14.415,1.9624999762,15.92440033,8.0120000839,1950.0,1950.0,80.108398438,76.5625,162.42080688,0.4478
222.059,8.5620002747,14.1718,1.9874999523,14.388299942,8.0059995651,1950.0,1950.0,48.227901459,83.090499878,165.51870728,0.4864
223.411,8.5620002747,15.373,2.0201001167,13.946900368,8.0059995651,1950.0,1950.0,31.468000412,89.982902527,174.7769928,0.4758
224.785,8.5802001953,16.075,2.0357000828,14.044099808,8.0240001678,1950.0,1950.0,22.235099792,91.401397705,192.81990051,0.3746
225.954,8.5802001953,15.355,2.0353999138,14.041799545,8.0240001678,1950.0,1950.0,16.73800087,91.587600708,225.37519836,0.3602
226.952,8.5680999756,15.587,2.0485999584,17.776399612,8.0120000839,1950.0,1950.0,13.640000343,95.469497681,284.3374939,0.3702
